paper:19127292	paper:17363749
paper:19668377	paper:17293876
paper:1313726	paper:3002783
paper:19110882	paper:14578298
paper:18606979	paper:10333910
paper:19735543	paper:8420806
paper:19228402	paper:17017752
paper:19220880	paper:12734781
paper:16595006	paper:11790819
paper:19143817	paper:11206408
paper:11943852	paper:7722468
paper:18644886	paper:3138126
paper:8325993	paper:2186054
paper:18509207	paper:15043684
paper:17894830	paper:2044434
paper:9326333	paper:7487991
paper:19228405	paper:11561483
paper:17144912	paper:1324940
paper:1541672	paper:1991568
paper:18349042	paper:12486503
paper:9737664	paper:7594559
paper:17174749	paper:1361076
paper:8100835	paper:2180755
paper:11791216	paper:11484155
paper:15192149	paper:11869680
paper:16127462	paper:9734395
paper:17327460	paper:9758619
paper:8529129	paper:1936620
paper:3280182	paper:6884606
paper:14585101	paper:9732339
paper:18477407	paper:15968442
paper:16846517	paper:12171451
paper:12560454	paper:7024027
paper:12975475	paper:11907129
paper:16075046	paper:1284550
paper:18436707	paper:15384883
paper:8145050	paper:1972779
paper:11522610	paper:2444321
paper:11454665	paper:2933287
paper:18406405	paper:9032105
paper:7833731	paper:2951066
paper:11091269	paper:9317167
paper:19360314	paper:12829651
paper:7567975	paper:3240835
paper:3891786	paper:6311651
paper:16259490	paper:10509871
paper:10190896	paper:2794065
paper:18561508	paper:16873794
paper:1504709	paper:2148392
paper:15520861	paper:14702111
paper:11522593	paper:10963732
paper:3113569	paper:4054448
paper:15647337	paper:8452322
paper:2961842	paper:6216134
paper:6594040	paper:7233414
paper:16241867	paper:11487743
paper:19073651	paper:17536074
paper:14585101	paper:11185325
paper:12456547	paper:9802755
paper:15611284	paper:11533710
paper:11598829	paper:8349046
paper:19488997	paper:16675714
paper:15687377	paper:11979019
paper:19488997	paper:2258796
paper:11507694	paper:7573053
paper:8326004	paper:1675318
paper:19005023	paper:17130532
paper:18509500	paper:17327327
paper:7769090	paper:2148510
paper:15013978	paper:11756343
paper:19436679	paper:11565518
paper:7893584	paper:1734985
paper:15467836	paper:12606512
paper:19187735	paper:14517715
paper:11919048	paper:10191799
paper:18436707	paper:11120765
paper:15508373	paper:12110552
paper:18562637	paper:15563560
paper:16873751	paper:1516497
paper:15013978	paper:11812768
paper:19151107	paper:15333470
paper:159313	paper:723641
paper:18498634	paper:16865358
paper:17469043	paper:14698999
paper:18513455	paper:8012143
paper:3057885	paper:2842756
paper:11943762	paper:8090784
paper:17570749	paper:12401727
paper:7913714	paper:3287175
paper:1990836	paper:3003909
paper:17428252	paper:15855328
paper:18006654	paper:17686944
paper:3496416	paper:3896899
paper:10937502	paper:1314967
paper:3708906	paper:6791599
paper:16517804	paper:15132888
paper:18924636	paper:6380287
paper:11160138	paper:1829330
paper:17597523	paper:17451420
paper:19469001	paper:15471153
paper:18841263	paper:1587398
paper:17762000	paper:12027929
paper:2189891	paper:3290006
paper:18971435	paper:17192330
